sheet_name,row_number,series_label,period,value,variable
Summary 1,22,Per cent of business at fixed rates Per cent,2010-Q2,39.101,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2010-Q3,43.496,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2010-Q4,45.928,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2011-Q1,51.218,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2011-Q2,56.023,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2011-Q3,51.707,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2011-Q4,53.534,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2012-Q1,55.082,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2012-Q2,56.389,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2012-Q3,55.984,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2012-Q4,63.546,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2013-Q1,70.686,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2013-Q2,75.257,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2013-Q3,77.314,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2013-Q4,80.273,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2014-Q1,81.011,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2014-Q2,81.945,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2014-Q3,82.571,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2014-Q4,82.24,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2015-Q1,77.635,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2015-Q2,78.926,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2015-Q3,80.659,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2015-Q4,84.092,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2016-Q1,81.429,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2016-Q2,82.273,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2016-Q3,82.3,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2016-Q4,81.292,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2017-Q1,84.788,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2017-Q2,88.136,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2017-Q3,89.518,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2017-Q4,90.416,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2018-Q1,90.568,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2018-Q2,91.589,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2018-Q3,90.563,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2018-Q4,91.892,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2019-Q1,91.862,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2019-Q2,92.186,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2019-Q3,91.797,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2019-Q4,92.435,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2020-Q1,91.903,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2020-Q2,90.25,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2020-Q3,91.195,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2020-Q4,92.433,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2021-Q1,92.519,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2021-Q2,93.536,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2021-Q3,94.127,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2021-Q4,94.398,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2022-Q1,94.335,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2022-Q2,95.415,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2022-Q3,95.455,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2022-Q4,94.525,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2023-Q1,83.318,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2023-Q2,84.619,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2023-Q3,90.406,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2023-Q4,86.307,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2024-Q1,87.901,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2024-Q2,93.395,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2024-Q3,93.391,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2024-Q4,94.29,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2025-Q1,94.06,fixed_rate_share_pct
