sheet_name,row_number,series_label,period,value,variable
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2016-Q2,0.943,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2016-Q3,0.913,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2016-Q4,0.884,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2017-Q1,0.869,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2017-Q2,0.839,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2017-Q3,0.802,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2017-Q4,0.782,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2018-Q1,0.767,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2018-Q2,0.737,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2018-Q3,0.734,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2018-Q4,0.728,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2019-Q1,0.73,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2019-Q2,0.712,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2019-Q3,0.679,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2019-Q4,0.655,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2020-Q1,0.659,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2020-Q2,0.685,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2020-Q3,0.688,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2020-Q4,0.696,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2021-Q1,0.729,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2021-Q2,0.693,serious_arrears_rate_pct
